               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12529,             0.16121,            0.039047,          0.00056211,           0.0075758,          0.00036598,          0.00010156,             0.12282,             0.11238,            0.036218,              0.0928,              0.0008,              0.0008
                   1,             0.12116,             0.14652,             0.03748,           0.0005848,           0.0075758,          0.00030082,          6.0164e-05,             0.11967,             0.13001,            0.037354,            0.084696,           0.0016958,           0.0016958
                   2,             0.11471,             0.17361,            0.035114,                   0,                   0,                   0,                   0,              0.1225,             0.12053,            0.039688,            0.076587,           0.0025871,           0.0025871
                   3,             0.10799,             0.17607,            0.032522,                   0,                   0,                   0,                   0,             0.12458,             0.11492,            0.041895,            0.068474,            0.003474,            0.003474
                   4,              0.1038,             0.16931,            0.030187,                   0,                   0,                   0,                   0,             0.12352,             0.12012,            0.041757,            0.060356,           0.0043564,           0.0043564
                   5,             0.10413,              0.1711,            0.028752,           0.0030033,             0.03348,           0.0018488,          0.00064358,             0.12365,             0.13483,            0.041711,            0.052234,           0.0052344,           0.0052344
                   6,            0.098943,             0.15535,            0.027529,           0.0064798,            0.072336,           0.0068087,           0.0015115,             0.12004,             0.13645,             0.03923,            0.044108,           0.0061079,           0.0061079
                   7,            0.097079,             0.14659,            0.026353,             0.38973,            0.022727,              0.0197,            0.005009,             0.11528,             0.12875,            0.036566,            0.035977,            0.006977,            0.006977
                   8,            0.097256,             0.14653,            0.026843,             0.38922,            0.056207,            0.012594,           0.0040561,             0.11272,             0.12238,            0.033105,            0.027842,           0.0078416,           0.0078416
                   9,            0.090621,             0.13597,            0.025841,             0.39363,              0.1327,            0.040131,            0.012322,              0.1061,             0.11304,            0.029846,            0.019702,           0.0087018,           0.0087018
                  10,            0.099997,             0.14442,            0.025853,             0.38964,             0.20364,             0.05545,            0.015783,            0.097154,              0.1208,            0.029141,            0.011557,           0.0095574,           0.0095574
                  11,            0.089517,              0.1471,            0.024988,             0.47703,             0.20577,            0.091201,            0.022882,             0.10324,             0.12277,            0.028125,           0.0097278,           0.0097278,           0.0097278
